wikidata,legislature,name,website,statistical-geography,toid,start-date,end-date
Q7797746,Q21561306,Three Rivers District Council,https://www.threerivers.gov.uk,,,,
Q1646552,Q21561328,Thurrock Council,https://www.thurrock.gov.uk,,,,
Q7799380,Q5266682,Thurrock Thames Gateway Development Corporation,https://www.gov.uk/government/organisations/thurrock-thames-gateway-development-corporation,,,2003-10-29T00:00:00Z,2012-04-03T00:00:00Z
Q16901812,Q21561306,Tonbridge and Malling Borough Council,https://www.tmbc.gov.uk,,,,
Q17034697,Q21561328,Torbay Council,https://www.torbay.gov.uk,,,,
Q17034697,Q16690653,Torbay Council,https://www.torbay.gov.uk,,,,
Q73072804,Q21561306,Torridge District Council,https://www.torridge.gov.uk,,,,
Q7829677,Q21561350,Tower Hamlets London Borough Council,https://www.towerhamlets.gov.uk,,,,
Q17034839,Q19414242,Trafford Metropolitan Borough Council,https://www.trafford.gov.uk,,,,
Q7985947,Q5150900,Transport for West Midlands,https://www.tfwm.org.uk/,,,1969-10-01T00:00:00Z,
Q55098930,Q21561306,Tunbridge Wells Borough Council,https://www.tunbridgewells.gov.uk,,,,
Q7860503,Q5266682,Tyne and Wear Development Corporation,,,,1987-05-15T00:00:00Z,1998-04-03T00:00:00Z
Q73072805,Q21561306,Uttlesford District Council,https://www.uttlesford.gov.uk,,,,
Q65090041,Q21561306,Vale of White Horse District Council,https://www.whitehorsedc.gov.uk,,,,
Q7961061,Q19414242,Wakefield Council,https://www.wakefield.gov.uk,,,,
Q7963789,Q19414242,Walsall Metropolitan Borough Council,https://www.walsall.gov.uk,,,,
Q7966606,Q21561350,Waltham Forest London Borough Council,https://www.walthamforest.gov.uk,,,,
Q7967311,Q21561350,Wandsworth London Borough Council,https://www.wandsworth.gov.uk,,,,
Q17033474,Q21561328,Warrington Borough Council,https://www.warrington.gov.uk,,,,
Q73072810,Q21561306,Warwick District Council,https://www.warwickdc.gov.uk,,,,
Q17066348,Q4321471,Warwickshire County Council,https://www.warwickshire.gov.uk,,,,
Q7974012,Q4321471,Waterford County Council,,,,1898-01-01T00:00:00Z,2014-01-01T00:00:00Z
Q7974596,Q21561306,Watford Borough Council,https://www.watford.gov.uk,,,,
Q73072811,Q21561306,Waveney District Council,https://www.waveney.gov.uk,,,,2019-04-01T00:00:00Z
Q73072816,Q21561306,Waverley Borough Council,https://www.waverley.gov.uk,,,,
Q73072817,Q21561306,Wealden District Council,https://www.wealden.gov.uk,,,,
Q73072820,Q21561306,Wellingborough Borough Council,https://www.wellingborough.gov.uk,,,,
Q7982137,Q21561306,Welwyn Hatfield Borough Council,https://www.welhat.gov.uk,,,,
Q17041496,Q21561328,West Berkshire Council,https://www.westberks.gov.uk,,,,
Q73072823,Q21561306,West Devon Borough Council,https://www.westdevon.gov.uk,,,,
Q73072826,Q21561306,West Dorset District Council,,,,,2019-04-01T00:00:00Z
Q73072828,Q21561306,West Lancashire Borough Council,https://www.westlancs.gov.uk,,,,
Q73072831,Q21561306,West Lindsey District Council,https://www.west-lindsey.gov.uk,,,,
Q21061625,Q5150900,West Midlands Combined Authority,https://www.wmca.org.uk,,,,
Q7986087,Q5266682,West Northamptonshire Development Corporation,http://www.wndc.org.uk,,,2004-12-15T00:00:00Z,2014-03-31T00:00:00Z
Q7986087,Q5266682,West Northamptonshire Development Corporation,https://www.gov.uk/government/organisations/the-west-northamptonshire-development-corporation,,,2004-12-15T00:00:00Z,2014-03-31T00:00:00Z
Q73072833,Q21561306,West Oxfordshire District Council,https://www.westoxon.gov.uk,,,,
Q73072834,Q21561306,West Somerset District Council,https://www.westsomersetonline.gov.uk,,,,2019-04-01T00:00:00Z
Q73072837,Q21561306,West Suffolk Council,https://www.westsuffolk.gov.uk,,,,
Q6386353,Q4321471,West Sussex County Council,https://www.westsussex.gov.uk,,,,
Q17035952,Q5150900,West Yorkshire Combined Authority,https://www.westyorks-ca.gov.uk/,,,,
Q24993670,Q5150900,West of England Combined Authority,https://www.westofengland-ca.gov.uk,,,,
Q7989145,Q21561350,Westminster City Council,https://www.westminster.gov.uk,,,,
Q73072840,Q21561306,Weymouth and Portland Borough Council,,,,,2019-04-01T00:00:00Z
Q7999507,Q19414242,Wigan Council,https://www.wigan.gov.uk,,,,
Q1990879,Q21561328,Wiltshire Council,https://wiltshire.gov.uk,,,,
Q73072843,Q21561306,Winchester City Council,https://www.winchester.gov.uk,,,,
Q17038560,Q21561328,Windsor and Maidenhead Borough Council,https://www.rbwm.gov.uk,,,,
Q17038877,Q19414242,Wirral Council,https://www.wirral.gov.uk,,,,
Q73072846,Q21561306,Woking Borough Council,https://www.woking.gov.uk,,,,
Q17039435,Q21561328,Wokingham Borough Council,https://www.wokingham.gov.uk,,,,
Q8030462,Q19414242,Wolverhampton City Council,https://www.wolverhampton.gov.uk,,,,
Q73072848,Q21561306,Worcester City Council,https://www.worcester.gov.uk,,,,
Q8034245,Q4321471,Worcestershire County Council,https://www.worcestershire.gov.uk,,,,
Q55098923,Q21561306,Worthing Borough Council,https://www.adur-worthing.gov.uk,E07000229,,,
Q73072850,Q21561306,Wychavon District Council,https://www.wychavon.gov.uk,,,,
Q65088676,Q21561306,Wycombe District Council,https://www.wycombe.gov.uk,,,,
Q73072856,Q21561306,Wyre Borough Council,https://www.wyre.gov.uk,,,,
Q73072859,Q21561306,Wyre Forest District Council,https://www.wyreforestdc.gov.uk,,,,
Q17059453,Q21561328,York City Council,https://www.york.gov.uk,,,,
Q27178932,Q3336962,Yorkshire Dales National Park Authority,https://www.yorkshiredales.org.uk,E26000008,,,
Q4983255,Q4321471,Buckinghamshire County Council,https://www.buckscc.gov.uk,,,,
Q5025388,Q21561306,Cambridge City Council,https://www.cambridge.gov.uk,,,,
Q1094147,Q2097994,City of London Corporation,https://www.cityoflondon.gov.uk,,,1191-01-01T00:00:00Z,
Q5189676,Q21561350,Croydon London Borough Council,https://www.croydon.gov.uk,,,,
Q5261430,Q21561328,Derby City Council,https://www.derby.gov.uk,,,,
Q6385990,Q4321471,Devon County Council,https://www.devon.gov.uk,,,,
Q739384,Q4321471,London County Council,,,,1889-03-21T00:00:00Z,1965-04-01T00:00:00Z
Q7236943,Q4321471,Powys County Council,http://www.powys.gov.uk/,,,,
Q7985947,Q5150900,Transport for West Midlands,https://www.tfwm.org.uk/,,,1969-10-01T00:00:00Z,
Q7989145,Q21561350,Westminster City Council,https://www.westminster.gov.uk,,,,
Q27159830,Q3336962,Brecon Beacons National Park Authority,https://www.beacons-npa.gov.uk,,,1996-04-01T00:00:00Z,
Q56174428,Q3336962,Brecon Beacons National Park Committee,,,,1974-04-01T00:00:00Z,1996-04-01T00:00:00Z
Q4983255,Q4321471,Buckinghamshire County Council,https://www.buckscc.gov.uk,,,,
Q5025388,Q21561306,Cambridge City Council,https://www.cambridge.gov.uk,,,,
Q1094147,Q2097994,City of London Corporation,https://www.cityoflondon.gov.uk,,,1191-01-01T00:00:00Z,
Q5189676,Q21561350,Croydon London Borough Council,https://www.croydon.gov.uk,,,,
Q5261430,Q21561328,Derby City Council,https://www.derby.gov.uk,,,,
Q6385990,Q4321471,Devon County Council,https://www.devon.gov.uk,,,,
Q69118038,Q21561306,East Devon District Council,https://eastdevon.gov.uk,,,,
Q54666929,Q19414242,Gateshead Council,https://www.gateshead.gov.uk,,,,
Q16839203,Q4321471,Glamorgan County Council,,,,1889-01-01T00:00:00Z,1974-01-01T00:00:00Z
Q56178073,Q4321471,Gwent County Council,,,,1974-01-01T00:00:00Z,1996-01-01T00:00:00Z
Q6515870,Q19414242,Leeds City Council,https://www.leeds.gov.uk,,,1974-04-01T00:00:00Z,
Q739384,Q4321471,London County Council,,,,1889-03-21T00:00:00Z,1965-04-01T00:00:00Z
Q6841843,Q21561328,Middlesbrough Borough Council,https://www.middlesbrough.gov.uk,,,,
Q7236943,Q4321471,Powys County Council,http://www.powys.gov.uk/,,,,
Q17021809,Q21561328,Southampton City Council,https://www.southampton.gov.uk,,,,
Q17034697,Q21561328,Torbay Council,https://www.torbay.gov.uk,,,,
Q17034697,Q16690653,Torbay Council,https://www.torbay.gov.uk,,,,
Q7985947,Q5150900,Transport for West Midlands,https://www.tfwm.org.uk/,,,1969-10-01T00:00:00Z,
Q7989145,Q21561350,Westminster City Council,https://www.westminster.gov.uk,,,,
