organisation,wikidata,name,website,statistical-geography,toid,opendatacommunities,esd-inventories,start-date,end-date
government-organisation:EA67,,UK Border Agency,https://www.gov.uk/government/organisations/uk-border-agency,,,,,,
government-organisation:EA675,,Northern Ireland Social Security Agency,https://www.gov.uk/government/organisations/northern-ireland-social-security-agency,,,,,,
government-organisation:EA685,,Defence Analytical Services Agency,https://www.gov.uk/government/organisations/defence-analytical-services-agency,,,,,,2008-04-01
government-organisation:EA687,,Valuation and Lands Agency,https://www.gov.uk/government/organisations/valuation-and-lands-agency,,,,,,
government-organisation:EA689,,Water Service (Northern Ireland),https://www.gov.uk/government/organisations/water-service-northern-ireland,,,,,,
government-organisation:EA692,,National Treatment Agency for Substance Misuse,https://www.gov.uk/government/organisations/national-treatment-agency-for-substance-misuse,,,,,,2013-04-01
government-organisation:EA693,,Ministry of Defence Police and Guarding Agency,https://www.gov.uk/government/organisations/ministry-of-defence-police-and-guarding-agency,,,,,,2013-04-01
government-organisation:EA695,,Ordnance Survey of Northern Ireland,https://www.gov.uk/government/organisations/ordnance-survey-of-northern-ireland,,,,,,
government-organisation:EA696,,Forensic Science Northern Ireland,https://www.gov.uk/government/organisations/forensic-science-northern-ireland,,,,,,
government-organisation:EA697,,Youth Justice Agency of Northern Ireland,https://www.gov.uk/government/organisations/youth-justice-agency-of-northern-ireland,,,,,,
government-organisation:EA698,,Assets Recovery Agency,https://www.gov.uk/government/organisations/assets-recovery-agency,,,,,,2008-04-01
government-organisation:EA70,,National Offender Management Service,https://www.gov.uk/government/organisations/national-offender-management-service,,,,,,
government-organisation:EA700,,Land Registers of Northern Ireland,https://www.gov.uk/government/organisations/land-registers-of-northern-ireland,,,,,,
government-organisation:EA701,,Northern Ireland Statistics and Research Agency,https://www.gov.uk/government/organisations/northern-ireland-statistics-and-research-agency,,,,,,
government-organisation:EA704,,National Criminal Intelligence Service,https://www.gov.uk/government/organisations/national-criminal-intelligence-service,,,,,,2006-04-01
government-organisation:EA705,,Medical Supplies Agency,https://www.gov.uk/government/organisations/medical-supplies-agency,,,,,,2005-04-01
government-organisation:EA706,,Armed Forces Personnel Administration Agency,https://www.gov.uk/government/organisations/armed-forces-personnel-administration-agency,,,,,,2007-04
government-organisation:EA707,,Compensation Agency,https://www.gov.uk/government/organisations/compensation-agency,,,,,,
government-organisation:EA71,,The National Archives,https://www.gov.uk/government/organisations/the-national-archives,,,,,,
government-organisation:EA715,,General Teaching Council for England,https://www.gov.uk/government/organisations/general-teaching-council-for-england,,,,,,2012-03-31
government-organisation:EA716,,NHS Purchasing and Supply Agency,https://www.gov.uk/government/organisations/nhs-purchasing-and-supply-agency,,,,,,2010-03-31
government-organisation:EA717,,Defence Aviation Repair Agency,https://www.gov.uk/government/organisations/defence-aviation-repair-agency,,,,,,2008-04-01
government-organisation:EA72,,Office of the Public Guardian,https://www.gov.uk/government/organisations/office-of-the-public-guardian,,,,,,
government-organisation:EA725,,Northern Ireland Court Service,https://www.gov.uk/government/organisations/northern-ireland-court-service,,,,,,
government-organisation:EA729,,Countryside Agency,https://www.gov.uk/government/organisations/countryside-agency,,,,,,2006-10-02
government-organisation:EA73,,HM Courts & Tribunals Service,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service,,,,,,
government-organisation:EA735,,Warship Support Agency,https://www.gov.uk/government/organisations/warship-support-agency,,,,,,2005-04-01
government-organisation:EA74,,Driver and Vehicle Licensing Agency,https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency,,,,,,
government-organisation:EA740,,Arts Council of Northern Ireland,https://www.gov.uk/government/organisations/arts-council-of-northern-ireland,,,,,,
government-organisation:EA75,,Driving Standards Agency,https://www.gov.uk/government/organisations/driving-standards-agency,,,,,,2014-04-01
government-organisation:EA752,,Labour Relations Agency,https://www.gov.uk/government/organisations/labour-relations-agency,,,,,,
government-organisation:EA756,,Social Security Agency,https://www.gov.uk/government/organisations/social-security-agency,,,,,,
government-organisation:EA764,,Scottish Sports Council,https://www.gov.uk/government/organisations/scottish-sports-council,,,,,,
government-organisation:EA765,,Learning and Skills Council,https://www.gov.uk/government/organisations/learning-and-skills-council,,,,,,2010-04-01
government-organisation:EA77,,Highways Agency,https://www.gov.uk/government/organisations/highways-agency,,,,,,2015-04-01
government-organisation:EA771,,Building Research Establishment,https://www.gov.uk/government/organisations/building-research-establishment,,,,,,1997
government-organisation:EA78,,Maritime and Coastguard Agency,https://www.gov.uk/government/organisations/maritime-and-coastguard-agency,,,,,,
government-organisation:EA784,,Veterinary Laboratories Agency,https://www.gov.uk/government/organisations/veterinary-laboratories-agency,,,,,,2011-04-01
government-organisation:EA785,,Defence Procurement Agency,https://www.gov.uk/government/organisations/defence-procurement-agency,,,,,,2007-04-01
government-organisation:EA788,,Environment and Heritage Service,https://www.gov.uk/government/organisations/environment-and-heritage-service,,,,,,
government-organisation:EA789,,Defence Storage and Distribution Agency,https://www.gov.uk/government/organisations/defence-storage-and-distribution-agency,,,,,,2009-04-01
government-organisation:EA79,,Vehicle and Operator Services Agency,https://www.gov.uk/government/organisations/vehicle-and-operator-services-agency,,,,,,2014-04-01
government-organisation:EA790,,Training and Development Agency for Schools,https://www.gov.uk/government/organisations/training-and-development-agency-for-schools,,,,,,2012-04-01
government-organisation:EA791,,Northern Ireland Health and Social Services Estates Agency,https://www.gov.uk/government/organisations/northern-ireland-health-and-social-services-estates-agency,,,,,,
government-organisation:EA792,,Health Protection Agency,https://www.gov.uk/government/organisations/health-protection-agency,,,,,,2013-04-01
government-organisation:EA797,,Northern Ireland Prison Service,https://www.gov.uk/government/organisations/northern-ireland-prison-service,,,,,,
government-organisation:EA80,,Vehicle Certification Agency,https://www.gov.uk/government/organisations/vehicle-certification-agency,,,,,,
government-organisation:EA808,,Driver and Vehicle Testing Agency,https://www.gov.uk/government/organisations/driver-and-vehicle-testing-agency,,,,,,2007
government-organisation:EA810,,Northern Ireland Child Support Agency,https://www.gov.uk/government/organisations/northern-ireland-child-support-agency,,,,,,
government-organisation:EA813,,Defence Communication Services Agency,https://www.gov.uk/government/organisations/defence-communication-services-agency,,,,,,
government-organisation:EA816,,Army Base Repair Organisation,https://www.gov.uk/government/organisations/army-base-repair-organisation,,,,,,2008-04-01
government-organisation:EA82,,UK Debt Management Office,https://www.gov.uk/government/organisations/uk-debt-management-office,,,,,,
government-organisation:EA821,,Central Science Laboratory,https://www.gov.uk/government/organisations/central-science-laboratory,,,,,,2009-03-31
government-organisation:EA823,,Disposal Services Agency,https://www.gov.uk/government/organisations/disposal-services-agency,,,,,,2007-04-01
government-organisation:EA829,,Criminal Injuries Compensation Appeals Panel for Northern Ireland,https://www.gov.uk/government/organisations/criminal-injuries-compensation-appeals-panel-for-northern-ireland,,,,,,
government-organisation:EA830,,Government Car and Despatch Agency,https://www.gov.uk/government/organisations/government-car-and-despatch-agency,,,,,,2009-12-30
government-organisation:EA832,,Police Information Technology Organisation,https://www.gov.uk/government/organisations/police-information-technology-organisation,,,,,,2007-03-31
government-organisation:EA833,,English Nature,https://www.gov.uk/government/organisations/english-nature,,,,,,2006-10-01
government-organisation:EA835,,Housing Corporation,https://www.gov.uk/government/organisations/housing-corporation,,,,,,2008-12-01
government-organisation:EA836,,Defence Medical Education and Training Agency,https://www.gov.uk/government/organisations/defence-medical-education-and-training-agency,,,,,,2008-04-01
government-organisation:EA843,,Marine Fisheries Agency,https://www.gov.uk/government/organisations/marine-fisheries-agency,,,,,,2010-04-01
government-organisation:EA844,,UK Government Decontamination Service,https://www.gov.uk/government/organisations/uk-government-decontamination-service,,,,,,
government-organisation:EA847,,Appeals Service Agency,https://www.gov.uk/government/organisations/appeals-service-agency,,,,,,
government-organisation:EA848,,Defence Transport and Movements Agency,https://www.gov.uk/government/organisations/defence-transport-and-movements-agency,,,,,,2007-04-01
government-organisation:EA86,,Skills Funding Agency,https://www.gov.uk/government/organisations/skills-funding-agency,,,,,,
government-organisation:EA860,,National Patient Safety Agency,https://www.gov.uk/government/organisations/national-patient-safety-agency,,,,,,2012-07-09
government-organisation:EA87,,Valuation Office Agency,https://www.gov.uk/government/organisations/valuation-office-agency,,,,,,
government-organisation:EA873,,Meat Hygiene Service,https://www.gov.uk/government/organisations/meat-hygiene-service,,,,,,2010-03-31
government-organisation:EA874,,English Partnerships,https://www.gov.uk/government/organisations/english-partnerships,,,,,,2008-12-01
government-organisation:EA879,,Rent Service,https://www.gov.uk/government/organisations/rent-service,,,,,,2009-04-01
government-organisation:EA882,,"People, Pay and Pensions Agency",https://www.gov.uk/government/organisations/people-pay-and-pensions-agency,,,,,,2011-07-06
government-organisation:EA883,,Defence Bills Agency,https://www.gov.uk/government/organisations/defence-bills-agency,,,,,,2007-04-01
government-organisation:EA884,,Defence Vetting Agency,https://www.gov.uk/government/organisations/defence-vetting-agency,,,,,,2012-04-01
government-organisation:EA900,,Animal Health,https://www.gov.uk/government/organisations/animal-health,,,,,,2011-04-01
government-organisation:EA901,,Renewable Fuels Agency,https://www.gov.uk/government/organisations/renewable-fuels-agency,,,,,,2011-04-01
government-organisation:EA904,,National Policing Improvement Agency,https://www.gov.uk/government/organisations/national-policing-improvement-agency,,,,,,2012-12
government-organisation:EA912,,East Midlands Development Agency (emda),https://www.gov.uk/government/organisations/east-midlands-development-agency-emda,,,,,,2012-03-30
government-organisation:EA917,,East of England Development Agency,https://www.gov.uk/government/organisations/east-of-england-development-agency,,,,,,2012-07-01
government-organisation:EA918,,South West of England Regional Development Agency,https://www.gov.uk/government/organisations/south-west-of-england-regional-development-agency,,,,,,2012
government-organisation:EA919,,South East England Development Agency,https://www.gov.uk/government/organisations/south-east-england-development-agency,,,,,,2012
government-organisation:EA920,,Northwest Regional Development Agency,https://www.gov.uk/government/organisations/northwest-regional-development-agency,,,,,,2012-07-01
government-organisation:EA921,,One North East,https://www.gov.uk/government/organisations/one-north-east,,,,,,2012-06-30
government-organisation:EA922,,Northwest Business Link,https://www.gov.uk/government/organisations/northwest-business-link,,,,,,2014-01-23
government-organisation:EA923,,Yorkshire Forward,https://www.gov.uk/government/organisations/yorkshire-forward,,,,,,2012-06-30
government-organisation:EA924,,"Pension, Disability and Carers Service",https://www.gov.uk/government/organisations/pension-disability-and-carers-service,,,,,,
government-organisation:EA927,,Advantage West Midlands,https://www.gov.uk/government/organisations/advantage-west-midlands,,,,,,
government-organisation:EA929,,National College for School Leadership,https://www.gov.uk/government/organisations/national-college-for-school-leadership,,,,,,
government-organisation:EA932,,British Educational Communications and Technology Agency,https://www.gov.uk/government/organisations/british-educational-communications-and-technology-agency,,,,,,2011-03-31
government-organisation:EA934,,Tenant Services Authority,https://www.gov.uk/government/organisations/tenant-services-authority,,,,,,2010-10
government-organisation:EA949,,Asset Protection Agency,https://www.gov.uk/government/organisations/asset-protection-agency,,,,,,2012-12-31
government-organisation:EA955,,Office for Tenants and Social Landlords,https://www.gov.uk/government/organisations/office-for-tenants-and-social-landlords,,,,,,2012
government-organisation:EA956,,Qualifications and Curriculum Development Agency,https://www.gov.uk/government/organisations/qualifications-and-curriculum-development-agency,,,,,,2012-04-01
government-organisation:EA959,,North West Development Agency,https://www.gov.uk/government/organisations/north-west-development-agency,,,,,,2012-03-31
government-organisation:EA960,,Young People's Learning Agency,https://www.gov.uk/government/organisations/young-peoples-learning-agency,,,,,,2012-03-31
government-organisation:EO1216,,Education and Skills Funding Agency,https://www.gov.uk/government/organisations/education-and-skills-funding-agency,,,,,,
